Payment Date,Benificiary Name,Amount
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,18.15
2012-12-10,AZZURRI COMMUNICATIONS LTD,13.22
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,51.74
2012-12-10,AZZURRI COMMUNICATIONS LTD,39.35
2012-12-10,AZZURRI COMMUNICATIONS LTD,39.47
2012-12-10,AZZURRI COMMUNICATIONS LTD,115.51
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,65.63
2012-12-10,AZZURRI COMMUNICATIONS LTD,25.49
2012-12-10,AZZURRI COMMUNICATIONS LTD,13.82
2012-12-10,AZZURRI COMMUNICATIONS LTD,25.37
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.82
2012-12-10,AZZURRI COMMUNICATIONS LTD,22.92
2012-12-10,AZZURRI COMMUNICATIONS LTD,160.39
2012-12-10,AZZURRI COMMUNICATIONS LTD,240.66
2012-12-10,AZZURRI COMMUNICATIONS LTD,68.76
2012-12-10,AZZURRI COMMUNICATIONS LTD,15.34
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.61
2012-12-10,AZZURRI COMMUNICATIONS LTD,15.34
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,36.49
2012-12-10,AZZURRI COMMUNICATIONS LTD,49.72
2012-12-10,AZZURRI COMMUNICATIONS LTD,34.79
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.47
2012-12-10,AZZURRI COMMUNICATIONS LTD,22.97
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.59
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-10,AZZURRI COMMUNICATIONS LTD,15.34
2012-12-10,AZZURRI COMMUNICATIONS LTD,69.66
2012-12-10,AZZURRI COMMUNICATIONS LTD,13.75
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,4.58
2012-12-12,AZZURRI COMMUNICATIONS LTD,11.46
2012-12-12,AZZURRI COMMUNICATIONS LTD,15.34
